"","logFC","logCPM","PValue","FDR"
"YBR118W",0.318509348144785,13.7940056951245,3.72596777271209e-148,2.59371191895734e-146
"YDR019C",2.701881537661,6.34572074482301,2.42453865779225e-147,1.66813898118102e-145
"YMR011W",0.380182639930676,11.7571805092269,1.79178548442921e-145,1.21862008176639e-143
"YJR104C",0.64815789620217,10.8145774428427,1.61911294317681e-144,1.08866946417922e-142
"YDR155C",0.467126339566991,11.4006213861303,8.13658835917678e-141,5.40945992373585e-139
"YLR359W",1.17294190367111,8.75030855416899,1.54846952201206e-140,1.01803268463838e-138
"YDL039C",2.31086944324157,6.54758559384025,4.11678801652757e-140,2.67681699931798e-138
"YBR092C",2.27362130748121,6.65509772743437,3.14074549869623e-139,2.01997729519409e-137
"YMR300C",1.78311420730837,7.19455794790903,7.12573539994863e-139,4.53365337220388e-137
"YKL056C",0.487367398107336,10.9163060301381,2.2529871900925e-137,1.41818353231673e-135
"YMR122W-A",0.696898753243436,9.86791957243121,1.19692230464826e-134,7.45493608063553e-133
"YLR413W",1.65676422774975,7.68076132210455,1.48729041509587e-133,9.16697644387738e-132
"YGL189C",-0.596403353740506,10.3532972120217,4.70496443351326e-131,2.87002830444309e-129
"YDL182W",1.31461728316399,8.12965430879879,3.8321315190619e-130,2.31374716309074e-128
"YLR194C",0.973633060133141,8.72577435183002,1.19107841684919e-128,7.11879898231985e-127
"YDR055W",1.74508809975261,7.3773887629836,2.12332373549755e-128,1.2563706542939e-126
"YLR355C",0.744835860209146,9.76266190792636,4.6757841081335e-128,2.73926876909167e-126
"YLR180W",0.92723524942021,8.93308158209197,6.05502788642897e-128,3.51250980431374e-126
"YHL021C",1.34528610233561,7.83329978939853,9.25704748366267e-126,5.31785921949826e-124
"YHR183W",0.675498587960735,9.79255647134777,4.21556487419706e-125,2.39841320775231e-123
"YLL050C",-0.964949015208951,9.09004481505312,2.87804402076493e-122,1.62184633055868e-120
"YJR029W",3.08314843682964,8.94445390030137,1.3663150356062e-120,7.62687364686973e-119
"YGR189C",-0.715589768575688,9.72509931706973,1.72130091972708e-120,9.51863321684591e-119
"YGR161C",-1.06039527508442,8.6614118161366,7.77095611439985e-118,4.25747660452814e-116
"YPL019C",1.6302103596752,7.48446265062231,3.80720073630191e-117,2.06671621621086e-115
"YER072W",1.16009612416587,8.08826889633237,2.53944620589706e-116,1.36599120002663e-114
"YIL121W",2.54790186388958,6.26769223506999,1.13648666679069e-115,6.05819063729776e-114
"YHL047C",1.56424086234428,7.44518265486353,6.34714845837294e-114,3.35322119894578e-112
"YHR136C",4.13383565861067,5.27017627509133,2.4729388623289e-113,1.29490081844249e-111
"YJL012C",1.19053052103619,8.03008291681554,2.64744289987509e-106,1.3741157577685e-104
"YJR148W",1.37335225256052,7.72713701783844,6.39534404528459e-106,3.2905435405173e-104
"YBR093C",1.73880894727444,6.82689025951542,5.37671463560183e-104,2.74258797403931e-102
"YJL158C",0.652605044670186,9.64691668655461,8.2265261795346e-104,4.16037225677831e-102
"YJR145C",0.367311658454628,11.3258439661668,1.0754037465101e-102,5.39251183737309e-101
"YLR109W",-0.322011952949701,11.7669092036124,4.37379680163207e-102,2.17476938447537e-100
"YOR273C",1.37536091594137,7.52831032224085,1.09061660186231e-100,5.3776486943494e-99
"YBL002W",-1.1562534722106,8.22282409910343,1.10917199923968e-100,5.42394274338941e-99
"YKR039W",-1.71661850626922,7.31125662052135,1.48900460065379e-99,7.2216723131709e-98
"YCR021C",2.34326109473539,6.05332948953139,4.8505225081326e-96,2.33337737240818e-94
"YPL231W",0.418338992962126,10.84083066444,8.67796703153511e-94,4.1409299133543e-92
"YLR300W",0.867709793103157,8.89321504828558,3.02732661821816e-92,1.43301532799975e-90
"YNL030W",-0.611743251122947,9.75656618395117,3.24468605043309e-91,1.52371486987401e-89
"YHR146W",-1.25472142506192,7.92593610420076,1.12129141348246e-90,5.2241584988785e-89
"YDR343C",1.65991367375607,8.95699248687144,3.18030542009574e-90,1.47014587271144e-88
"YKL182W",0.733037104155395,9.51379737248133,1.30575449530191e-88,5.98926306100884e-87
"YER145C",-0.961763036107789,8.52128782827421,1.82332595664742e-88,8.29893821960216e-87
"YDR516C",0.522482280453512,10.032101704409,2.55511908537797e-88,1.15409462810546e-86
"YGL147C",0.450731093268564,10.4755069962728,5.09850599857147e-88,2.2854439389051e-86
"YDR224C",-0.656602252144702,9.50672129759736,5.47798041437794e-88,2.43708346705822e-86
"YBR009C",-0.769789086966486,9.18593250939993,1.69456323938229e-87,7.48263484136194e-86
"YFL054C",-1.65838083014636,7.43521601843301,6.04281011974608e-87,2.64854129470649e-85
"YKL060C",0.145372560860051,14.0252624919894,8.06997364322033e-87,3.51103191521579e-85
"YBR162C",-0.595860023277995,10.0178859274907,2.64361909496053e-86,1.14177329816653e-84
"YLR108C",-2.4321066117045,6.37216732876709,1.09094169331908e-85,4.67761014447027e-84
"YDL184C",-0.908899161176999,9.12766517597509,6.12877764140958e-85,2.60891923051946e-83
"YFR055W",1.64138018651926,6.82718605094803,5.41350136246542e-84,2.28797768297914e-82
"YER055C",1.05126952401616,8.41967332994579,1.48185938957642e-82,6.21855461569054e-81
"YBR031W",0.427632975432377,11.3325653218761,1.54059118036526e-82,6.41949155931073e-81
"YAL044C",1.55235050830704,7.15242805184882,1.19490524772162e-80,4.94423381172647e-79
"YGR282C",-0.473075618302575,10.2979472695361,1.27237196166905e-80,5.22821173416375e-79
"YAL003W",0.584660924003212,9.68664179324212,2.29210455770275e-80,9.35336735719116e-79
"YBR230C",-1.23839998672801,7.75686897835509,3.38516942126727e-80,1.3719210592903e-78
"YBR212W",-0.942350625626616,8.40422737110497,4.99092506197645e-80,2.00893221712344e-78
"YDR406W",1.50257628318196,7.17076323633323,8.14791100299911e-79,3.25751279761796e-77
"YGR008C",0.938344401890675,8.10194779008443,3.18712473783794e-77,1.26565215260316e-75
"YOR375C",-0.561795534403997,9.84601038493717,3.77551180526865e-77,1.48931355678497e-75
"YPL163C",1.32808473272075,7.12924663068583,3.93554051763397e-77,1.54215849290333e-75
"YHR216W",0.995605488959621,8.0813179925257,4.77958468616959e-77,1.86057911763589e-75
"YLR348C",-0.990168385408488,8.20167440587481,5.17503828942435e-77,2.00135304304078e-75
"YPR124W",0.940525056300889,8.31486222815108,7.88635388570185e-77,3.03010103517519e-75
"YDR399W",1.47774308364843,7.03891546342073,4.26584784062183e-75,1.62845301115867e-73
"YHR162W",-0.883908097438809,8.47455440479414,1.1313427502439e-73,4.2911250340982e-72
"YKL062W",1.72211382036151,6.84300030216607,2.95129009905565e-73,1.11227920484792e-71
"YBL085W",-1.18970526827476,7.72811310030134,7.84892637360935e-73,2.9393732501675e-71
"YKL065C",-1.0048805333126,8.07529980791128,3.12882209649563e-72,1.16435473867702e-70
"YGL035C",-1.11578714835068,8.03284296479603,3.24450270506443e-72,1.19985765661664e-70
